iter	Passed	Remaining
1259	19532	7596
1260	19547	7580
1261	19563	7564
1262	19577	7549
1263	19591	7532
1264	19606	7516
1265	19620	7501
1266	19636	7485
1267	19658	7472
1268	19697	7465
1269	19720	7453
1270	19741	7439
1271	19774	7431
1272	19798	7418
1273	19819	7405
1274	19839	7391
1275	19854	7375
1276	19872	7360
1277	19888	7345
1278	19902	7329
1279	19918	7313
1280	19933	7298
1281	19948	7282
1282	19961	7265
1283	19975	7249
1284	19989	7233
1285	20004	7217
1286	20018	7201
1287	20034	7186
1288	20076	7180
1289	20092	7164
1290	20113	7151
1291	20127	7135
1292	20141	7118
1293	20158	7103
1294	20174	7088
1295	20188	7072
1296	20203	7056
1297	20219	7041
1298	20234	7025
1299	20248	7009
1300	20262	6992
1301	20277	6977
1302	20293	6961
1303	20318	6949
1304	20347	6938
1305	20365	6923
1306	20392	6911
1307	20417	6899
1308	20437	6885
1309	20452	6869
1310	20467	6853
1311	20482	6837
1312	20505	6824
1313	20526	6810
1314	20542	6795
1315	20553	6778
1316	20571	6763
1317	20587	6747
1318	20602	6732
1319	20629	6720
1320	20651	6706
1321	20671	6692
1322	20687	6676
1323	20703	6661
1324	20720	6646
1325	20735	6630
1326	20756	6616
1327	20773	6601
1328	20787	6585
1329	20805	6570
1330	20822	6554
1331	20836	6538
1332	20850	6522
1333	20866	6506
1334	20880	6490
1335	20897	6475
1336	20913	6460
1337	20931	6445
1338	20947	6429
1339	20961	6413
1340	20976	6397
1341	20992	6382
1342	21006	6366
1343	21022	6350
1344	21037	6334
1345	21051	6318
1346	21067	6302
1347	21085	6287
1348	21102	6272
1349	21124	6259
1350	21142	6244
1351	21158	6228
1352	21176	6213
1353	21192	6198
1354	21208	6182
1355	21224	6166
1356	21241	6151
1357	21258	6136
1358	21275	6121
1359	21291	6105
1360	21310	6090
1361	21326	6075
1362	21341	6059
1363	21358	6044
1364	21373	6028
1365	21391	6013
1366	21404	5997
1367	21420	5981
1368	21436	5965
1369	21452	5950
1370	21466	5934
1371	21485	5919
1372	21502	5904
1373	21518	5888
1374	21533	5872
1375	21549	5857
1376	21563	5840
1377	21577	5824
1378	21593	5809
1379	21611	5794
1380	21628	5779
1381	21644	5763
1382	21659	5747
1383	21678	5732
1384	21694	5717
1385	21708	5701
1386	21722	5685
1387	21739	5669
1388	21753	5653
1389	21767	5637
1390	21781	5621
1391	21795	5605
1392	21813	5590
1393	21829	5574
1394	21846	5559
1395	21862	5543
1396	21876	5527
1397	21892	5512
1398	21907	5496
1399	21921	5480
1400	21935	5464
1401	21948	5448
1402	21962	5431
1403	21976	5415
1404	21991	5399
1405	22006	5384
1406	22021	5368
1407	22039	5353
1408	22053	5337
1409	22067	5321
1410	22082	5305
1411	22097	5289
1412	22111	5273
1413	22125	5257
1414	22141	5241
1415	22156	5226
1416	22173	5210
1417	22190	5195
1418	22208	5180
1419	22223	5164
1420	22241	5149
1421	22257	5133
1422	22273	5118
1423	22288	5102
1424	22307	5087
1425	22329	5073
1426	22351	5059
1427	22374	5045
1428	22410	5034
1429	22429	5019
1430	22446	5003
1431	22462	4988
1432	22476	4972
1433	22491	4956
1434	22507	4940
1435	22524	4925
1436	22541	4909
1437	22558	4894
1438	22574	4878
1439	22589	4863
1440	22606	4847
1441	22622	4832
1442	22637	4816
1443	22652	4800
1444	22666	4784
1445	22681	4768
1446	22697	4752
1447	22713	4737
1448	22732	4722
1449	22751	4707
1450	22764	4691
1451	22779	4675
1452	22794	4659
1453	22808	4643
1454	22821	4627
1455	22835	4611
1456	22849	4594
1457	22863	4579
1458	22878	4563
1459	22895	4547
1460	22911	4532
1461	22926	4516
1462	22940	4500
1463	22954	4484
1464	22968	4468
1465	22983	4452
1466	22998	4436
1467	23012	4420
1468	23026	4404
1469	23040	4388
1470	23054	4372
1471	23069	4356
1472	23093	4342
1473	23106	4326
1474	23120	4310
1475	23134	4294
1476	23148	4278
1477	23163	4262
1478	23176	4246
1479	23189	4230
1480	23204	4214
1481	23218	4198
1482	23234	4183
1483	23250	4167
1484	23268	4152
1485	23283	4136
1486	23297	4120
1487	23312	4104
1488	23326	4088
1489	23340	4072
1490	23355	4056
1491	23369	4041
1492	23384	4025
1493	23399	4009
1494	23414	3993
1495	23431	3978
1496	23447	3962
1497	23462	3946
1498	23476	3931
1499	23490	3915
1500	23505	3899
1501	23522	3883
1502	23536	3867
1503	23552	3852
1504	23566	3836
1505	23584	3821
1506	23600	3805
1507	23620	3790
1508	23635	3774
1509	23649	3758
1510	23663	3742
1511	23678	3727
1512	23693	3711
1513	23708	3695
1514	23723	3679
1515	23738	3664
1516	23752	3648
1517	23767	3632
1518	23783	3616
1519	23798	3601
1520	23815	3585
1521	23830	3569
1522	23845	3554
1523	23860	3538
1524	23874	3522
1525	23889	3506
1526	23904	3490
1527	23921	3475
1528	23940	3460
1529	23955	3444
1530	23973	3429
1531	24003	3415
1532	24018	3399
1533	24033	3384
1534	24048	3368
1535	24063	3352
1536	24079	3336
1537	24094	3321
1538	24109	3305
1539	24124	3289
1540	24138	3273
1541	24153	3258
1542	24170	3242
1543	24188	3227
1544	24203	3211
1545	24218	3195
1546	24232	3179
1547	24247	3164
1548	24261	3148
1549	24278	3132
1550	24291	3116
1551	24305	3100
1552	24319	3084
1553	24335	3069
1554	24350	3053
1555	24374	3039
1556	24391	3023
1557	24409	3008
1558	24422	2992
1559	24438	2976
1560	24452	2960
